event_time,user_id,event_type
2025-09-08 15:05:39.422721,10118,watch_video
2025-09-08 08:15:05.264103,10220,watch_video
2025-11-14 06:28:35.207671,10009,share_workout
2025-08-20 16:53:38.682901,10227,read_article
2025-07-24 16:47:31.728422,10123,track_workout
2025-10-07 20:16:39.779447,10073,track_workout
2025-11-26 11:23:13.110900,10089,share_workout
2025-09-06 21:41:57.119757,10371,watch_video
2025-08-25 15:24:12.096844,10128,track_workout
2025-11-06 23:59:43.737413,10288,track_workout
2025-06-24 01:35:30.487606,10104,read_article
2025-08-20 22:31:06.236147,10143,track_workout
2025-11-01 12:54:53.878292,10059,watch_video
2025-09-16 04:20:43.300496,10196,share_workout
2025-09-11 00:28:27.031458,10336,read_article
2025-07-28 02:23:58.525334,10266,read_article
2025-06-17 10:55:26.219883,10310,share_workout
2025-08-11 09:05:20.817647,10179,track_workout
2025-09-27 13:43:28.786707,10266,share_workout
2025-08-22 05:56:48.299322,10264,read_article
2025-08-27 05:11:18.853319,10208,track_workout
2025-08-17 23:02:23.467543,10301,read_article
2025-08-12 03:55:15.654774,10368,share_workout
2025-11-24 10:53:17.892889,10165,track_workout
2025-09-17 12:59:48.472122,10057,share_workout
2025-10-17 18:18:21.037873,10331,read_article
2025-11-09 13:49:45.514494,10044,share_workout
2025-07-25 12:43:29.332869,10353,share_workout
2025-10-08 19:08:21.248545,10247,track_workout
2025-10-31 23:51:04.460048,10309,watch_video
2025-08-20 16:17:54.553606,10059,read_article
2025-08-16 23:10:11.514340,10041,share_workout
2025-08-06 03:44:24.461229,10243,share_workout
2025-07-21 13:59:46.059434,10353,share_workout
2025-09-23 07:24:54.966750,10193,read_article
2025-11-13 09:30:18.091580,10179,track_workout
2025-11-10 12:38:00.188081,10121,read_article
2025-09-24 17:00:51.385696,10194,read_article
2025-06-16 12:19:14.448952,10243,watch_video
2025-06-22 06:40:26.706374,10001,read_article
2025-10-24 00:23:33.153455,10260,read_article
2025-09-23 09:39:50.245895,10145,share_workout
2025-11-24 06:37:00.570219,10164,track_workout
2025-06-26 14:46:08.594500,10050,watch_video
2025-11-29 20:26:05.431604,10253,share_workout
2025-08-16 17:59:37.411779,10105,track_workout
2025-06-08 08:20:50.884743,10128,read_article
2025-08-12 10:01:57.411549,10101,share_workout
2025-09-13 14:40:26.913338,10360,track_workout
2025-06-26 05:55:34.510309,10315,track_workout
2025-06-14 10:37:20.333521,10024,watch_video
2025-06-24 08:43:35.353235,10202,read_article
2025-07-31 23:53:49.404064,10389,share_workout
2025-08-10 18:40:34.328890,10143,read_article
2025-09-13 08:18:19.186030,10031,track_workout
2025-10-26 13:24:40.615666,10393,share_workout
2025-09-18 19:47:02.013467,10396,share_workout
2025-08-02 13:05:33.303502,10158,watch_video
2025-11-02 04:28:45.119863,10110,share_workout
2025-11-09 21:18:50.398350,10130,watch_video
2025-08-28 21:25:03.813835,10000,read_article
2025-10-19 20:26:12.703462,10078,share_workout
2025-08-14 19:06:09.058058,10326,track_workout
2025-07-24 11:53:57.726440,10351,track_workout
2025-08-28 11:28:54.738366,10188,read_article
2025-06-05 15:38:13.785738,10292,watch_video
2025-10-09 17:05:47.800934,10120,read_article
2025-06-16 13:29:45.144880,10004,track_workout
2025-10-27 01:40:26.895002,10179,track_workout
2025-08-01 02:28:22.737286,10228,track_workout
2025-10-23 21:29:46.723284,10192,track_workout
2025-06-25 08:05:11.208505,10234,watch_video
2025-06-25 14:25:37.379408,10254,read_article
2025-09-18 03:56:19.990678,10127,read_article
2025-11-22 03:41:21.923125,10314,watch_video
2025-06-12 02:14:29.406116,10019,track_workout
2025-09-14 06:08:42.029229,10266,read_article
2025-10-26 01:51:17.403757,10037,read_article
2025-06-24 03:12:59.454868,10362,read_article
2025-06-08 14:31:36.572738,10180,watch_video
2025-09-07 05:38:03.778770,10200,track_workout
2025-10-09 07:54:57.483776,10252,read_article
2025-10-08 16:39:03.692020,10031,share_workout
2025-06-25 09:30:09.027420,10168,track_workout
2025-10-28 00:44:11.872320,10140,read_article
2025-11-27 02:44:33.182556,10177,watch_video
2025-06-28 12:45:39.729069,10013,share_workout
2025-10-03 09:12:52.995956,10393,read_article
2025-11-29 04:32:28.017183,10126,read_article
2025-11-19 14:12:15.405747,10128,watch_video
2025-10-03 16:31:46.232402,10120,watch_video
2025-08-14 05:11:14.063974,10312,share_workout
2025-11-02 19:37:28.016108,10231,read_article
2025-08-01 20:04:28.919240,10020,read_article
2025-06-12 06:18:19.373771,10214,read_article
2025-06-20 02:50:40.264086,10050,track_workout
2025-10-20 11:59:55.217459,10159,read_article
2025-10-29 18:19:36.374640,10153,share_workout
2025-10-26 09:47:53.436424,10223,share_workout
2025-08-31 15:43:37.424916,10141,share_workout
2025-11-27 21:46:37.363620,10367,read_article
2025-11-21 12:50:58.419072,10073,watch_video
2025-09-17 04:19:22.230352,10241,read_article
2025-08-14 03:34:26.810401,10072,read_article
2025-09-08 05:16:40.730774,10173,share_workout
2025-06-11 08:36:49.151809,10358,share_workout
2025-08-16 02:51:33.011735,10105,track_workout
2025-11-26 20:18:36.204176,10012,share_workout
2025-10-12 07:06:43.286312,10209,watch_video
2025-09-28 20:02:17.422851,10227,share_workout
2025-09-15 06:24:38.833312,10028,read_article
2025-09-12 05:05:59.917521,10109,watch_video
2025-11-13 00:14:10.471225,10000,read_article
2025-12-01 21:12:13.342817,10271,watch_video
2025-08-19 10:33:34.297311,10185,watch_video
2025-11-12 21:48:07.073002,10218,read_article
2025-10-21 14:12:49.223185,10217,share_workout
2025-09-08 02:26:31.454518,10097,track_workout
2025-11-11 09:39:51.496475,10392,read_article
2025-08-31 12:03:01.637835,10341,read_article
2025-10-23 17:52:34.784221,10333,read_article
2025-06-22 15:27:48.578978,10392,read_article
2025-10-22 10:44:46.713402,10016,watch_video
2025-11-20 01:24:54.299514,10034,read_article
2025-10-15 13:22:14.112585,10194,track_workout
2025-06-10 22:57:20.952271,10315,track_workout
2025-10-08 05:04:12.199295,10012,watch_video
2025-09-26 11:22:17.814789,10360,watch_video
